Cycle,Code,Role,Values
1,ISTJ-A,Logistician,"[18, 38, 83, 60, 60]"
2,ISTJ-A,Logistician,"[15, 35, 75, 58, 61]"
3,ISTP-A,Virtuoso,"[24, 29, 92, 49, 69]"
4,ISTP-A,Virtuoso,"[22, 35, 82, 49, 64]"
5,ISTP-A,Virtuoso,"[10, 29, 79, 47, 61]"
6,ISTJ-A,Logistician,"[21, 32, 81, 57, 71]"
7,ISTJ-A,Logistician,"[15, 36, 85, 53, 68]"
8,ISTJ-A,Logistician,"[21, 41, 75, 60, 75]"
9,ISTJ-A,Logistician,"[21, 32, 86, 51, 67]"
10,ISTJ-A,Logistician,"[11, 32, 82, 57, 68]"
11,ISTJ-A,Logistician,"[14, 39, 82, 53, 63]"
12,ISTJ-A,Logistician,"[19, 39, 76, 53, 61]"
13,ISTJ-A,Logistician,"[28, 34, 89, 53, 68]"
14,ISTJ-A,Logistician,"[17, 38, 78, 56, 71]"
15,ISTJ-A,Logistician,"[14, 42, 83, 56, 67]"
16,ISTP-A,Virtuoso,"[21, 38, 69, 46, 64]"
17,ISTJ-A,Logistician,"[22, 43, 78, 54, 69]"
18,ISTJ-A,Logistician,"[25, 35, 88, 60, 69]"
19,ISTJ-A,Logistician,"[21, 38, 74, 58, 67]"
20,ISTP-A,Virtuoso,"[19, 38, 67, 46, 71]"
