Cycle,Code,Role,Values
1,ISTP-A,Virtuoso,"[39, 41, 74, 18, 74]"
2,ISTP-A,Virtuoso,"[43, 38, 74, 17, 68]"
3,ISTP-A,Virtuoso,"[43, 43, 74, 19, 74]"
4,ISTP-A,Virtuoso,"[42, 45, 78, 15, 71]"
5,ISTP-A,Virtuoso,"[43, 48, 82, 19, 75]"
6,ISTP-A,Virtuoso,"[40, 45, 75, 18, 75]"
7,ISTP-A,Virtuoso,"[49, 43, 75, 19, 75]"
8,ISTP-A,Virtuoso,"[40, 46, 82, 19, 72]"
9,ISTP-A,Virtuoso,"[40, 46, 81, 22, 65]"
10,ISTP-A,Virtuoso,"[43, 42, 83, 18, 71]"
11,ISTP-A,Virtuoso,"[35, 42, 72, 18, 65]"
12,ISTP-A,Virtuoso,"[49, 41, 75, 19, 69]"
13,ISTP-A,Virtuoso,"[40, 46, 76, 22, 71]"
14,ISTP-A,Virtuoso,"[37, 45, 81, 21, 71]"
15,INTP-A,Logician,"[43, 51, 74, 19, 69]"
16,ISTP-A,Virtuoso,"[40, 46, 76, 18, 67]"
17,ISTP-A,Virtuoso,"[39, 47, 76, 18, 68]"
18,ISTP-A,Virtuoso,"[44, 42, 78, 18, 68]"
19,ISTP-A,Virtuoso,"[46, 43, 79, 18, 75]"
20,ISTP-A,Virtuoso,"[42, 42, 79, 17, 65]"
