Cycle,Code,Role,Values
1,ESFJ-A,Consul,"[63, 20, 44, 61, 65]"
2,ISFJ-A,Defender,"[49, 3, 44, 71, 64]"
3,ESFJ-A,Consul,"[56, 9, 40, 64, 63]"
4,ESFJ-A,Consul,"[57, 14, 49, 68, 57]"
5,ISFJ-A,Defender,"[49, 17, 39, 63, 65]"
6,ISFJ-A,Defender,"[49, 4, 40, 69, 63]"
7,ISFJ-A,Defender,"[44, 16, 39, 57, 56]"
8,ISFJ-A,Defender,"[43, 21, 40, 61, 61]"
9,ISFJ-A,Defender,"[47, 14, 46, 68, 51]"
10,ISFJ-A,Defender,"[42, 10, 36, 68, 65]"
11,ISFJ-A,Defender,"[47, 14, 37, 64, 54]"
12,ISFJ-A,Defender,"[49, 24, 39, 53, 68]"
13,ISFJ-A,Defender,"[39, 16, 37, 65, 68]"
14,ESFJ-A,Consul,"[53, 6, 37, 69, 56]"
15,ESFJ-A,Consul,"[54, 13, 33, 56, 61]"
16,ISFJ-A,Defender,"[39, 20, 42, 57, 67]"
17,ISFJ-A,Defender,"[44, 13, 37, 65, 56]"
18,ISFJ-A,Defender,"[46, 11, 40, 57, 65]"
19,ISFJ-A,Defender,"[49, 9, 39, 75, 58]"
20,ESFJ-A,Consul,"[56, 11, 43, 63, 57]"
