Cycle,Code,Role,Values
1,ISTJ-A,Logistician,"[25, 13, 69, 69, 81]"
2,ISTJ-A,Logistician,"[26, 7, 69, 54, 63]"
3,ISTJ-A,Logistician,"[28, 10, 72, 65, 72]"
4,ISTJ-A,Logistician,"[31, 16, 64, 65, 67]"
5,ISTJ-A,Logistician,"[37, 11, 69, 61, 71]"
6,ISTJ-A,Logistician,"[35, 10, 69, 60, 67]"
7,ISTJ-A,Logistician,"[36, 14, 69, 58, 74]"
8,ISTJ-A,Logistician,"[29, 13, 65, 65, 75]"
9,ISTJ-A,Logistician,"[29, 9, 74, 63, 68]"
10,ISTJ-A,Logistician,"[29, 18, 65, 61, 74]"
11,ISTJ-A,Logistician,"[33, 13, 63, 60, 65]"
12,ISTJ-A,Logistician,"[33, 14, 71, 58, 65]"
13,ISTJ-A,Logistician,"[29, 9, 75, 61, 76]"
14,ISTJ-A,Logistician,"[29, 11, 67, 60, 69]"
15,ISTJ-A,Logistician,"[31, 16, 72, 68, 65]"
16,ISTJ-A,Logistician,"[25, 10, 71, 58, 72]"
17,ISTJ-A,Logistician,"[36, 9, 69, 69, 81]"
18,ISTJ-A,Logistician,"[28, 13, 68, 54, 67]"
19,ISTJ-A,Logistician,"[25, 13, 65, 58, 65]"
20,ISTJ-A,Logistician,"[29, 10, 63, 65, 76]"
