Cycle,Code,Role,Values
1,ESTP-A,Entrepreneur,"[72, 48, 85, 22, 72]"
2,ESTP-A,Entrepreneur,"[74, 48, 85, 18, 75]"
3,ENTP-A,Debater,"[69, 52, 85, 19, 68]"
4,ESTP-A,Entrepreneur,"[74, 46, 81, 12, 72]"
5,ENTP-A,Debater,"[67, 52, 83, 18, 71]"
6,ENTP-A,Debater,"[67, 56, 78, 17, 72]"
7,ESTP-A,Entrepreneur,"[71, 47, 82, 17, 75]"
8,ESTP-A,Entrepreneur,"[74, 46, 83, 15, 71]"
9,ENTP-A,Debater,"[69, 52, 82, 18, 72]"
10,ENTP-A,Debater,"[74, 59, 88, 14, 78]"
11,ENTP-A,Debater,"[71, 53, 83, 12, 69]"
12,ESTP-A,Entrepreneur,"[68, 42, 82, 14, 76]"
13,ESTP-A,Entrepreneur,"[72, 46, 83, 15, 78]"
14,ENTP-A,Debater,"[71, 54, 82, 19, 76]"
15,ENTP-A,Debater,"[74, 51, 83, 17, 74]"
16,ENTP-A,Debater,"[75, 51, 85, 14, 75]"
17,ENTP-A,Debater,"[71, 54, 81, 14, 74]"
18,ENTP-A,Debater,"[69, 53, 79, 15, 75]"
19,ENTP-A,Debater,"[71, 53, 82, 24, 81]"
20,ENTP-A,Debater,"[72, 57, 82, 17, 72]"
