Cycle,Code,Role,Values
1,ISTJ-A,Logistician,"[22, 25, 86, 51, 61]"
2,ISTJ-A,Logistician,"[14, 28, 83, 56, 61]"
3,ISTJ-A,Logistician,"[19, 22, 78, 53, 69]"
4,ISTJ-A,Logistician,"[17, 25, 100, 51, 57]"
5,ISTP-A,Virtuoso,"[22, 27, 75, 47, 58]"
6,ISTP-A,Virtuoso,"[17, 25, 75, 49, 61]"
7,ISTJ-A,Logistician,"[22, 28, 81, 64, 58]"
8,ISTP-A,Virtuoso,"[25, 28, 75, 49, 69]"
9,ISTJ-A,Logistician,"[11, 28, 78, 56, 75]"
10,ISTP-A,Virtuoso,"[17, 22, 75, 36, 64]"
11,ISTJ-A,Logistician,"[17, 27, 83, 53, 60]"
12,ISTJ-A,Logistician,"[25, 27, 83, 53, 63]"
13,ISTJ-A,Logistician,"[18, 25, 81, 53, 69]"
14,ISTJ-A,Logistician,"[19, 25, 74, 51, 61]"
15,ISTP-A,Virtuoso,"[17, 31, 81, 49, 71]"
16,ISTJ-A,Logistician,"[28, 31, 78, 57, 67]"
17,ISTP-A,Virtuoso,"[10, 34, 92, 47, 61]"
18,ISTJ-A,Logistician,"[25, 18, 78, 56, 71]"
19,ISTJ-A,Logistician,"[25, 22, 81, 58, 67]"
20,ISTJ-A,Logistician,"[14, 25, 81, 51, 64]"
