Cycle,Code,Role,Values
1,ESTJ-A,Executive,"[58, 28, 60, 58, 69]"
2,ISTJ-A,Logistician,"[36, 28, 65, 56, 81]"
3,ESTJ-A,Executive,"[53, 31, 63, 58, 69]"
4,ISTJ-A,Logistician,"[44, 34, 68, 58, 75]"
5,ISTJ-A,Logistician,"[49, 31, 63, 56, 75]"
6,ISTJ-A,Logistician,"[49, 28, 64, 61, 67]"
7,ISTP-A,Virtuoso,"[49, 31, 57, 49, 67]"
8,ESTJ-A,Executive,"[67, 31, 51, 58, 71]"
9,ESTJ-A,Executive,"[54, 34, 60, 58, 75]"
10,ESTJ-A,Executive,"[53, 36, 60, 57, 78]"
11,ESTJ-A,Executive,"[56, 34, 65, 63, 71]"
12,ISTJ-A,Logistician,"[47, 28, 60, 58, 69]"
13,ESTJ-A,Executive,"[53, 34, 60, 60, 76]"
14,ESTJ-A,Executive,"[53, 25, 61, 54, 75]"
15,ESTJ-A,Executive,"[53, 34, 63, 61, 81]"
16,ISTJ-A,Logistician,"[47, 28, 68, 53, 78]"
17,ESTJ-A,Executive,"[51, 28, 54, 58, 81]"
18,ISTJ-A,Logistician,"[49, 28, 65, 53, 58]"
19,ISTJ-A,Logistician,"[49, 28, 65, 58, 81]"
20,ESTJ-A,Executive,"[51, 28, 72, 58, 78]"
