Cycle,Code,Role,Values
Cycle,Code,Role,Values
1,ISTJ-A,Logistician,"[18, 10, 89, 60, 85]"
2,ISTJ-A,Logistician,"[14, 17, 86, 56, 79]"
3,ISTJ-A,Logistician,"[7, 7, 90, 71, 82]"
4,ISTJ-A,Logistician,"[15, 11, 93, 60, 85]"
5,ISTJ-A,Logistician,"[15, 20, 93, 61, 74]"
6,ISTJ-A,Logistician,"[14, 20, 92, 64, 85]"
7,ISTJ-A,Logistician,"[10, 24, 93, 58, 83]"
8,ISTJ-A,Logistician,"[11, 3, 89, 67, 89]"
9,ISTJ-A,Logistician,"[11, 13, 94, 61, 81]"
10,ISTJ-A,Logistician,"[10, 10, 86, 58, 82]"
11,ISTJ-A,Logistician,"[18, 16, 88, 64, 82]"
12,ISTJ-A,Logistician,"[14, 18, 93, 69, 78]"
13,ISTJ-A,Logistician,"[11, 20, 93, 67, 82]"
14,ISTJ-A,Logistician,"[3, 11, 89, 54, 76]"
15,ISTJ-A,Logistician,"[12, 13, 89, 64, 81]"
16,ISTJ-A,Logistician,"[17, 13, 89, 61, 74]"
17,ISTJ-A,Logistician,"[19, 10, 88, 61, 67]"
18,ISTJ-A,Logistician,"[11, 21, 94, 61, 79]"
19,ISTJ-A,Logistician,"[17, 20, 85, 61, 82]"
20,ISTJ-A,Logistician,"[11, 6, 89, 64, 78]"
