Cycle,Code,Role,Values
1,ESTJ-A,Executive,"[57, 0, 72, 65, 76]"
2,ESTJ-A,Executive,"[56, 4, 81, 71, 83]"
3,ESTJ-A,Executive,"[64, 0, 72, 68, 78]"
4,ESTJ-A,Executive,"[51, 0, 81, 61, 81]"
5,ESTJ-A,Executive,"[60, 2, 72, 64, 83]"
6,ESTJ-A,Executive,"[61, 0, 74, 60, 83]"
7,ESTJ-A,Executive,"[53, 0, 75, 64, 86]"
8,ESTJ-A,Executive,"[56, 0, 71, 72, 78]"
9,ESTJ-A,Executive,"[64, 4, 67, 64, 75]"
10,ESTJ-A,Executive,"[58, 4, 75, 64, 82]"
11,ESTJ-A,Executive,"[56, 4, 72, 65, 74]"
12,ESTJ-A,Executive,"[57, 3, 74, 68, 82]"
13,ESTJ-A,Executive,"[57, 2, 83, 61, 76]"
14,ISTJ-A,Logistician,"[39, 2, 71, 61, 67]"
15,ISTJ-A,Logistician,"[47, 0, 78, 65, 79]"
16,ESTJ-A,Executive,"[54, 6, 69, 64, 79]"
17,ESTJ-A,Executive,"[53, 0, 72, 64, 83]"
18,ESTJ-A,Executive,"[51, 6, 72, 65, 72]"
19,ESTJ-A,Executive,"[53, 4, 74, 67, 82]"
20,ESTJ-A,Executive,"[56, 0, 74, 64, 76]"
