Cycle,Code,Role,Values
1,ISFJ-A,Defender,"[14, 11, 42, 68, 68]"
2,ISFJ-A,Defender,"[7, 10, 49, 68, 58]"
3,ISFJ-A,Defender,"[12, 7, 39, 60, 68]"
4,ISFJ-A,Defender,"[24, 21, 42, 65, 69]"
5,ISFJ-A,Defender,"[12, 11, 44, 57, 65]"
6,ISFJ-A,Defender,"[12, 11, 40, 58, 64]"
7,ISFJ-A,Defender,"[18, 9, 37, 64, 68]"
8,ISFJ-A,Defender,"[17, 11, 46, 67, 65]"
9,ISFJ-A,Defender,"[24, 13, 42, 63, 71]"
10,ISFJ-A,Defender,"[17, 9, 37, 58, 68]"
11,ISTJ-A,Logistician,"[1, 2, 53, 68, 74]"
12,ISFJ-A,Defender,"[0, 10, 49, 69, 72]"
13,ISFJ-A,Defender,"[10, 7, 37, 65, 58]"
14,ISFJ-A,Defender,"[8, 9, 36, 69, 65]"
15,ISFJ-A,Defender,"[7, 3, 43, 68, 67]"
16,ISFJ-A,Defender,"[6, 17, 39, 64, 69]"
17,ISFJ-A,Defender,"[4, 11, 37, 60, 61]"
18,ISFJ-A,Defender,"[18, 6, 40, 63, 63]"
19,ISFJ-A,Defender,"[18, 2, 40, 64, 60]"
20,ISFJ-A,Defender,"[18, 11, 42, 58, 71]"
