Cycle,Code,Role,Values
1,ESFP-A,Entertainer,"[69, 36, 40, 10, 64]"
2,ESFP-A,Entertainer,"[74, 36, 39, 11, 67]"
3,ESFP-A,Entertainer,"[72, 41, 36, 14, 67]"
4,ESFP-A,Entertainer,"[72, 34, 42, 15, 76]"
5,ESFP-A,Entertainer,"[69, 39, 42, 14, 69]"
6,ESFP-A,Entertainer,"[69, 46, 35, 14, 67]"
7,ESFP-A,Entertainer,"[71, 39, 40, 17, 69]"
8,ESFP-A,Entertainer,"[74, 42, 39, 14, 69]"
9,ESFP-A,Entertainer,"[72, 35, 36, 15, 71]"
10,ESFP-A,Entertainer,"[72, 38, 36, 15, 71]"
11,ESFP-A,Entertainer,"[71, 39, 37, 14, 72]"
12,ESFP-A,Entertainer,"[72, 41, 36, 17, 61]"
13,ESFP-A,Entertainer,"[68, 46, 37, 12, 67]"
14,ESFP-A,Entertainer,"[74, 41, 46, 10, 67]"
15,ESFP-A,Entertainer,"[76, 41, 40, 17, 69]"
16,ESFP-A,Entertainer,"[78, 38, 39, 14, 71]"
17,ESFP-A,Entertainer,"[74, 39, 35, 18, 67]"
18,ESFP-A,Entertainer,"[78, 38, 40, 11, 75]"
19,ESFP-A,Entertainer,"[75, 42, 36, 15, 74]"
20,ESFP-A,Entertainer,"[78, 41, 39, 17, 72]"
