Cycle,Code,Role,Values
1,ISTJ-A,Logistician,"[12, 31, 79, 58, 90]"
2,ISTJ-A,Logistician,"[10, 24, 85, 60, 69]"
3,ISTJ-A,Logistician,"[8, 43, 90, 60, 88]"
4,ISTJ-A,Logistician,"[19, 43, 74, 53, 78]"
5,ISTJ-A,Logistician,"[11, 43, 83, 56, 69]"
6,ISTJ-A,Logistician,"[22, 43, 67, 60, 76]"
7,ISTJ-A,Logistician,"[11, 38, 76, 60, 83]"
8,ISTJ-A,Logistician,"[8, 38, 74, 58, 71]"
9,ISTJ-A,Logistician,"[12, 42, 74, 61, 81]"
10,ISTJ-A,Logistician,"[11, 39, 79, 56, 79]"
11,ISTJ-A,Logistician,"[6, 45, 82, 53, 76]"
12,ISTJ-A,Logistician,"[11, 39, 72, 68, 75]"
13,ISTJ-A,Logistician,"[10, 34, 78, 64, 68]"
14,ISTJ-A,Logistician,"[8, 38, 75, 60, 79]"
15,ISTJ-A,Logistician,"[4, 39, 78, 61, 78]"
16,ISTJ-A,Logistician,"[4, 29, 74, 64, 68]"
17,ISTJ-A,Logistician,"[18, 35, 78, 63, 69]"
18,ISTJ-A,Logistician,"[21, 32, 81, 61, 68]"
19,ISTJ-A,Logistician,"[17, 31, 86, 57, 71]"
20,ISTP-A,Virtuoso,"[17, 41, 75, 49, 71]"
